Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Creek Energy,,Open,12/6/2018,,20 to 99,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celerity Energy Services LP,Platinum Control Technologies,Open,9/9/2013,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Celtic Energy, Inc.",,Open,8/6/2008,,5 to 9,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenergy International Services,,Open,12/15/2011,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenergy International Services LLC,,Terminated,3/25/2015,10/28/2020,500 to 999,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cenergy International Services, Inc.",,Open,1/26/2023,,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenergy LLC,,Terminated,4/18/2018,11/19/2021,100 to 499,1,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenergy Oil & Gas LLC,,Open,7/19/2019,,20 to 99,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cenergy, LLC",,Terminated,6/17/2015,3/3/2016,100 to 499,19,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cenergy, LLC",,Open,3/31/2015,,100 to 499,1,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cenergyIT, LLC","cenergyIT, LLC",Open,4/23/2014,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Climate and Energy Solutions Inc,,Open,11/29/2018,,20 to 99,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Energy and Environment,,Open,12/15/2020,,100 to 499,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Energy and Environment,,Open,2/3/2020,,100 to 499,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Energy and Environment,,Open,5/13/2009,,20 to 99,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Energy and Environment,Center for Energy and Environment,Terminated,6/7/2019,4/21/2023,100 to 499,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Reliable Energy Systems,,Open,10/17/2013,,10 to 19,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Sustainable Energy,,Open,10/29/2015,,100 to 499,4,CA, MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTER PHASE ENERGY LLC,,Open,11/23/2021,,10 to 19,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Centerline Energy Construction, LLC","Centerline Energy Construction, LLC",Open,12/28/2020,,20 to 99,1,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CenterPoint Energy,,Open,1/8/2009,,"5,000 to 9,999",207,AR, AZ, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, NM, OH, OK, TN, TX, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CenterPoint Energy,Always There,Terminated,7/2/2011,7/11/2011,20 to 99,6,HI, NY, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTERPOINT ENERGY,NAMED INSURED,Terminated,7/8/2011,7/11/2011,20 to 99,27,CA, FL, GA, MD, ME, MS, NH, NY, OK, RI, TN, TX, WA, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CenterPoint Energy, Inc.",,Open,3/19/2020,,"10,000 and over",148,AR, CO, IL, IN, KY, LA, MN, MO, MS, OH, OK, TN, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Coast Community Energy,Central Coast Community Energy,Open,3/1/2021,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrus Energy Corp.,,Open,2/17/2010,,100 to 499,3,MD, OH, TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Century Solar Energy INC,,Open,6/22/2020,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CEP ENERGY, LLC",,Open,1/6/2016,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certified Energy Labs,Certified Energy/Environmental Labs,Open,4/2/2012,,10 to 19,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cetane Energy LLC,,Open,12/2/2020,,10 to 19,2,AL, NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaberton Energy Holdings Inc.,,Open,7/6/2022,,20 to 99,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chanje Energy, Inc.",,Open,5/8/2018,,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaparral Energy,,Open,1/22/2013,,500 to 999,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaparral Energy,,Terminated,7/16/2020,9/10/2022,20 to 99,6,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charger Energy Services, LP",,Open,1/28/2020,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart Energy & Chemicals,,Terminated,10/30/2007,12/17/2010,100 to 499,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chart Energy & Chemicals, Inc.",,Open,9/4/2018,,100 to 499,4,LA, TX, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chart Energy & Chemicals, Inc.",,Terminated,5/23/2017,5/12/2022,100 to 499,4,LA, TX, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chemtane Energy, LLC",,Open,6/7/2016,,5 to 9,2,MS, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemtec Energy Services,,Open,5/22/2019,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheniere Energy, Inc.",,Open,7/28/2016,,500 to 999,6,DC, LA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee Energy Management & Constrtuction,,Open,9/3/2010,,5 to 9,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Street Energy LLC,Cherry Street Energy LLC,Open,8/26/2019,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cherry Street Energy, LLC",,Open,3/15/2016,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesapeake Energy Marketing, LLC",,Open,4/27/2015,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHI Energy Services, Inc",,Open,10/19/2015,,5 to 9,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Energy Fund Committee (USA) Inc.,,Open,10/25/2013,,5 to 9,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choice First Distribution LLC dba Kronik Energy,,Open,11/28/2007,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CIMA ENERGY, LP",,Open,11/25/2020,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CIMA Energy, LP",,Open,12/3/2020,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CIMA ENERGY, LP",,Open,11/20/2013,,20 to 99,6,CO, IL, IN, KY, TX, UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimarex Energy Co,,Terminated,10/8/2014,10/28/2020,500 to 999,22,CO, NM, OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimarex Energy Co,,Terminated,7/16/2008,10/21/2020,500 to 999,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIMARRON ENERGY INC,,Open,10/17/2018,,100 to 499,12,CO, KY, NM, OH, OK, PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimarron Energy Inc,,Terminated,11/11/2011,2/25/2022,100 to 499,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimarron Energy Inc,,Open,7/27/2022,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIMMARON ENERGY INC,,Open,4/11/2022,,100 to 499,9,CO, KY, OH, OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circle V Energy Services LLC,,Open,3/23/2016,,5 to 9,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCOR Energy,,Terminated,9/30/2009,8/27/2021,100 to 499,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCOR Energy,,Open,3/4/2020,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circor Energy,,Terminated,9/30/2009,5/12/2022,100 to 499,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circor Energy Products Inc,,Terminated,4/2/2019,11/6/2022,100 to 499,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Public Service Board,CPS Energy,Open,11/4/2013,,"2,500 to 4,999",1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKB Energy LLC,,Open,4/5/2023,,10 to 19,1,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKJ Transport Energy Services,,Open,4/17/2020,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clarke Energy USA, Inc",,Open,10/1/2020,,100 to 499,3,IN, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clarke Energy USA, Inc.",,Open,10/1/2020,,100 to 499,2,MA, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Claude Energy Services, LLC",,Open,11/2/2015,,10 to 19,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy,,Terminated,8/18/2008,3/31/2021,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy,,Open,6/17/2019,,100 to 499,183,AL, AZ, CA, CO, CT, DC, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MN, MO, NC, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY,,,,,,,,,,,,,,,,
Clean Energy,,Terminated,3/5/2015,11/6/2022,"1,000 to 2,499",223,AL, AZ, CA, CO, CT, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, MI, MN, MO, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI, WY,,,,,,,,,,,,,,,
Clean Energy Associates,,Open,10/12/2020,,100 to 499,52,AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VI, VT, WI, WY
"Clean Energy Associates, LLC (LYS)",,Terminated,4/7/2017,2/3/2020,10 to 19,1,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clean Energy Business Network, LLC",,Open,12/17/2021,,5 to 9,2,DC, NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Buyers Association,,Open,6/13/2022,,20 to 99,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Capital LLC,Clean Energy Capital LLC,Terminated,9/10/2012,7/20/2017,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Constructors LLC,,Terminated,10/22/2013,12/14/2016,20 to 99,3,AZ, CA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CLEAN ENERGY CONSTRUCTORS, LLC",,Terminated,9/10/2014,10/10/2014,20 to 99,3,AZ, CA, ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CLEAN ENERGY CONSTRUCTORS, LLC",,Terminated,10/23/2014,12/14/2016,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Experts,,Open,5/20/2013,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEAN ENERGY FEDERAL CREDIT UNION,,Open,7/6/2021,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Federal Credit Union,Clean Energy Credit Union,Open,1/18/2022,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy for A Healthy Arizona,,Open,3/16/2018,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy For A Healthy Arizona LLC,,Terminated,4/30/2018,12/28/2018,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Fuels,,Terminated,12/13/2011,4/23/2021,100 to 499,68,AZ, CA, CO, FL, GA, IL, IN, KY, MA, MD, MI, MN, MO, NH, NJ, NM, NV, NY, OH, OK, PA, TX, UT, VA, WA, WI, WY,,,,,,,,,,,,,,,,,,,,,,,,,
"Clean Energy Group, Inc.",,Open,3/11/2011,,10 to 19,2,DC, VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clean Energy International, Inc.",,Open,4/17/2012,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Nexus,Clean Energy Nexus,Open,6/1/2020,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Powering,,Open,1/29/2015,,20 to 99,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Services CES LLC,Clean Energy Services CES LLC,Open,11/11/2022,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Solutions Inc.,,Terminated,12/8/2014,2/6/2020,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clean Energy Solutions, Inc.",,Open,8/25/2009,,5 to 9,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clean Energy Technology Association, Inc.",CETA,Open,10/1/2014,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Energy Trust,Clean Energy Trust,Open,12/30/2015,,10 to 19,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Planet Energy USA LLA,,Open,12/28/2022,,5 to 9,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clean Urban Energy, Inc.",,Open,8/24/2011,,5 to 9,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleanChoice Energy Shared Svcs,,Open,3/22/2021,,100 to 499,4,DC, MA, NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Blue Energy Corp.,,Open,10/2/2017,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Energy Systems Inc.,,Open,9/19/2011,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clear Energy Systems, Inc.",,Open,10/6/2008,,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ClearView Energy Partners, LLC",,Open,6/17/2019,,10 to 19,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearway Energy Group LLC,,Open,7/19/2021,,100 to 499,50,AZ, CA, HI, IA, MA, MN, NE, NM, NY, OK, PA, TX, UT, WA, WV, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEARWAY ENERGY GROUP LLC,,Open,4/10/2019,,500 to 999,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearway Energy Group LLC,Clearway Energy Group,Open,2/6/2019,,500 to 999,22,AZ, CA, CO, HI, IA, IL, MA, NJ, NY, TX, VA, WV, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearway Energy Inc.,,Open,7/19/2021,,100 to 499,22,AZ, CA, DE, IL, MN, NE, NJ, PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clevenger Energy Solutions LLC,ISI Energy Savers,Open,4/8/2013,,5 to 9,1,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate and Energy Controllers,Climate Controllers,Open,5/7/2015,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBlu Energy Inc,,Open,1/20/2023,,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC Energy Services,,Open,9/17/2018,,100 to 499,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMI Energy LLC,,Open,8/1/2014,,100 to 499,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMOR ENERGY SERVICES,,Open,10/8/2018,,10 to 19,1,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNH Energy Services LLC,Wash Militia,Open,10/18/2011,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coachman Energy Administrator,,Open,10/17/2017,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Energy Corporation,,Open,3/8/2018,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coastal Energy Saver, Inc",Coastal Glass Tinting,Open,10/6/2015,,5 to 9,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Energy Services LLC,,Terminated,10/10/2018,12/23/2021,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalt Energy Services Inc,,Open,12/28/2017,,20 to 99,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cobalt International Energy, L.P.",,Terminated,4/25/2014,5/16/2018,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cofano Energy Services, LLC",,Open,2/1/2019,,20 to 99,2,PA, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cogentrix Energy Power Management LLC,,Open,6/26/2013,,100 to 499,12,CA, CO, FL, MA, MD, NC, NH, NJ, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cogentrix Energy, LLC",,Terminated,4/6/2009,10/21/2020,500 to 999,20,CA, CO, FL, ID, MN, NC, NJ, NY, PA, VA, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cognitive Energy LLC,POWWR,Open,7/19/2021,,20 to 99,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cohen Ventures, Inc.",dba Energy Solutions,Open,3/6/2017,,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COI Energy Services,,Open,5/11/2018,,5 to 9,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collarini Energy Staffing Inc.,,Open,6/23/2011,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Collicutt Energy Services, Inc.",,Open,7/20/2010,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombo Energy,,Open,6/19/2015,,20 to 99,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombo Energy INC.,,Open,4/20/2016,,20 to 99,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Energy Systems,Colorado Energy Systems,Open,3/26/2021,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colter Energy,,Open,12/28/2016,,20 to 99,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia Energy & Environmental Services, Inc.",,Open,1/7/2010,,100 to 499,1,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comal Energy Services, LP",,Terminated,8/23/2018,11/19/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commercial Control Service, Inc.","Albireo Energy, LLC",Open,8/15/2022,,10 to 19,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Energy Specialists LLC,,Open,9/29/2022,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commercial Energy Specialists, Inc.",,Open,9/20/2011,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commercial Energy Specialists, inc.","Commercial Energy Specialists, inc.",Open,3/22/2013,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commercial Energy Specialists, LLC",Duffield Aquatics,Open,3/24/2023,,20 to 99,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commercial Energy Systems, Inc.",,Open,9/17/2010,,20 to 99,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committee on Energy and Commerce Chairman Joe Barton,,Terminated,6/6/2006,3/24/2021,100 to 499,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common Energy, LLC",,Open,7/27/2021,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Community Energy Solar, LLC",,Open,3/6/2019,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Community Energy, Inc.",,Open,7/16/2010,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Competitive Energy Services, LLC",,Open,3/29/2021,,20 to 99,1,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composite Energy Technologies, Inc",Goetz Composites,Open,7/30/2020,,20 to 99,1,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composite Energy Technologies, Inc.",,Open,1/11/2022,,20 to 99,1,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
